,home,away,date,match_type,venue,time_of_match,toss,winner,man_of_match,outcome
526,Kings XI Punjab,Gujarat Lions,"11th April, 2016",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Gujarat Lions,Gujarat Lions,Aaron Finch,0
527,Royal Challengers Bangalore,Sunrisers Hyderabad,"12th April, 2016",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Sunrisers Hyderabad,Royal Challengers Bangalore,AB de Villiers,1
528,Kolkata Knight Riders,Mumbai Indians,"13th April, 2016",league,"Eden Gardens, Kolkata",Day/Night Match,Mumbai Indians,Mumbai Indians,Rohit Sharma,0
529,Gujarat Lions,Rising Pune Supergiant,"14th April, 2016",league,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot",Day/Night Match,Rising Pune Supergiant,Gujarat Lions,Aaron Finch,1
530,Delhi Daredevils,Kings XI Punjab,"15th April, 2016",league,"Arun Jaitley Stadium, Delhi",Day Match,Delhi Daredevils,Delhi Daredevils,Amit Mishra,1
531,Sunrisers Hyderabad,Kolkata Knight Riders,"16th April, 2016",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Sunrisers Hyderabad,Kolkata Knight Riders,Gautam Gambhir,0
532,Mumbai Indians,Gujarat Lions,"16th April, 2016",league,"Wankhede Stadium, Mumbai",Day/Night Match,Gujarat Lions,Gujarat Lions,Aaron Finch,0
533,Kings XI Punjab,Rising Pune Supergiant,"17th April, 2016",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Rising Pune Supergiant,Kings XI Punjab,Manan Vohra,1
534,Royal Challengers Bangalore,Delhi Daredevils,"17th April, 2016",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Quinton de Kock,0
535,Sunrisers Hyderabad,Mumbai Indians,"18th April, 2016",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,David Warner,1
536,Kings XI Punjab,Kolkata Knight Riders,"19th April, 2016",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Robin Uthappa,0
537,Mumbai Indians,Royal Challengers Bangalore,"20th April, 2016",league,"Barabati Stadium, Cuttack",Day/Night Match,Mumbai Indians,Mumbai Indians,Rohit Sharma,1
538,Gujarat Lions,Sunrisers Hyderabad,"21st April, 2016",league,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Bhuvneshwar Kumar,0
539,Rising Pune Supergiant,Royal Challengers Bangalore,"22nd April, 2016",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Rising Pune Supergiant,Royal Challengers Bangalore,AB de Villiers,0
540,Delhi Daredevils,Mumbai Indians,"23rd April, 2016",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Mumbai Indians,Delhi Daredevils,Sanju Samson,1
541,Kings XI Punjab,Sunrisers Hyderabad,"23rd April, 2016",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Mustafizur Rahman,0
542,Gujarat Lions,Royal Challengers Bangalore,"24th April, 2016",league,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot",Day/Night Match,Royal Challengers Bangalore,Gujarat Lions,Virat Kohli,1
543,Rising Pune Supergiant,Kolkata Knight Riders,"24th April, 2016",league,"Maharashtra Cricket Association Stadium, Pune",Day Match,Kolkata Knight Riders,Kolkata Knight Riders,Suryakumar Yadav,0
544,Kings XI Punjab,Mumbai Indians,"25th April, 2016",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Mumbai Indians,Parthiv Patel,0
545,Sunrisers Hyderabad,Rising Pune Supergiant,"26th April, 2016",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Rising Pune Supergiant,Rising Pune Supergiant,Ashok Dinda,0
546,Delhi Daredevils,Gujarat Lions,"27th April, 2016",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Gujarat Lions,Chris Morris,0
547,Mumbai Indians,Kolkata Knight Riders,"28th April, 2016",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Rohit Sharma,1
548,Rising Pune Supergiant,Gujarat Lions,"29th April, 2016",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Gujarat Lions,Gujarat Lions,Dwayne Smith,0
549,Delhi Daredevils,Kolkata Knight Riders,"30th April, 2016",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Kolkata Knight Riders,Delhi Daredevils,Carlos Brathwaite,1
550,Sunrisers Hyderabad,Royal Challengers Bangalore,"30th April, 2016",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Royal Challengers Bangalore,Sunrisers Hyderabad,David Warner,1
551,Gujarat Lions,Kings XI Punjab,"1st May, 2016",league,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot",Day/Night Match,Gujarat Lions,Kings XI Punjab,Axar Patel,0
552,Rising Pune Supergiant,Mumbai Indians,"1st May, 2016",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Mumbai Indians,Mumbai Indians,Rohit Sharma,0
553,Royal Challengers Bangalore,Kolkata Knight Riders,"2nd May, 2016",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Andre Russell,0
554,Gujarat Lions,Delhi Daredevils,"3rd May, 2016",league,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Rishabh Pant,0
555,Kolkata Knight Riders,Kings XI Punjab,"4th May, 2016",league,"Eden Gardens, Kolkata",Day/Night Match,Kings XI Punjab,Kolkata Knight Riders,Andre Russell,1
556,Delhi Daredevils,Rising Pune Supergiant,"5th May, 2016",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Rising Pune Supergiant,Rising Pune Supergiant,Ajinkya Rahane,0
557,Sunrisers Hyderabad,Gujarat Lions,"6th May, 2016",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Bhuvneshwar Kumar,1
558,Royal Challengers Bangalore,Rising Pune Supergiant,"7th May, 2016",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Virat Kohli,1
559,Kings XI Punjab,Delhi Daredevils,"7th May, 2016",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Delhi Daredevils,Kings XI Punjab,Marcus Stoinis,1
560,Mumbai Indians,Sunrisers Hyderabad,"8th May, 2016",league,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam",Day/Night Match,Mumbai Indians,Sunrisers Hyderabad,Ashish Nehra,0
561,Kolkata Knight Riders,Gujarat Lions,"8th May, 2016",league,"Eden Gardens, Kolkata",Day/Night Match,Gujarat Lions,Gujarat Lions,Praveen Kumar,0
562,Kings XI Punjab,Royal Challengers Bangalore,"9th May, 2016",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Royal Challengers Bangalore,Shane Watson,0
563,Rising Pune Supergiant,Sunrisers Hyderabad,"10th May, 2016",league,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Adam Zampa,0
564,Royal Challengers Bangalore,Mumbai Indians,"11th May, 2016",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Mumbai Indians,Mumbai Indians,Krunal Pandya,0
565,Sunrisers Hyderabad,Delhi Daredevils,"12th May, 2016",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Chris Morris,0
566,Mumbai Indians,Kings XI Punjab,"13th May, 2016",league,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam",Day/Night Match,Mumbai Indians,Kings XI Punjab,Marcus Stoinis,0
567,Royal Challengers Bangalore,Gujarat Lions,"14th May, 2016",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Gujarat Lions,Royal Challengers Bangalore,AB de Villiers,1
568,Kolkata Knight Riders,Rising Pune Supergiant,"14th May, 2016",league,"Eden Gardens, Kolkata",Day/Night Match,Rising Pune Supergiant,Kolkata Knight Riders,Yusuf Pathan,1
569,Kings XI Punjab,Sunrisers Hyderabad,"15th May, 2016",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Sunrisers Hyderabad,Hashim Amla,0
570,Mumbai Indians,Delhi Daredevils,"15th May, 2016",league,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam",Day/Night Match,Delhi Daredevils,Mumbai Indians,Krunal Pandya,1
571,Kolkata Knight Riders,Royal Challengers Bangalore,"16th May, 2016",league,"Eden Gardens, Kolkata",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Virat Kohli,0
572,Rising Pune Supergiant,Delhi Daredevils,"17th May, 2016",league,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam",Day/Night Match,Rising Pune Supergiant,Rising Pune Supergiant,Ashok Dinda,1
573,Royal Challengers Bangalore,Kings XI Punjab,"18th May, 2016",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Kings XI Punjab,Royal Challengers Bangalore,Virat Kohli,1
574,Gujarat Lions,Kolkata Knight Riders,"19th May, 2016",league,"Green Park, Kanpur",Day/Night Match,Gujarat Lions,Gujarat Lions,Dwayne Smith,1
575,Delhi Daredevils,Sunrisers Hyderabad,"20th May, 2016",league,"Shaheed Veer Narayan Sing International Stadium, Raipur",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Karun Nair,1
576,Rising Pune Supergiant,Kings XI Punjab,"21st May, 2016",league,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam",Day/Night Match,Kings XI Punjab,Rising Pune Supergiant,M S Dhoni,1
577,Gujarat Lions,Mumbai Indians,"21st May, 2016",league,"Green Park, Kanpur",Day/Night Match,Gujarat Lions,Gujarat Lions,Suresh Raina,1
578,Kolkata Knight Riders,Sunrisers Hyderabad,"22nd May, 2016",league,"Eden Gardens, Kolkata",Day/Night Match,Sunrisers Hyderabad,Kolkata Knight Riders,Yusuf Pathan,1
579,Delhi Daredevils,Royal Challengers Bangalore,"22nd May, 2016",league,"Shaheed Veer Narayan Sing International Stadium, Raipur",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Virat Kohli,0
580,Royal Challengers Bangalore,Gujarat Lions,"24th May, 2016",knockout,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day Match,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,1
581,Sunrisers Hyderabad,Kolkata Knight Riders,"25th May, 2016",knockout,"Arun Jaitley Stadium, Delhi",Day/Night Match,Kolkata Knight Riders,Sunrisers Hyderabad,Moises Henriques,1
582,Gujarat Lions,Sunrisers Hyderabad,"27th May, 2016",knockout,"Arun Jaitley Stadium, Delhi",Day Match,Sunrisers Hyderabad,Sunrisers Hyderabad,David Warner,0
583,Royal Challengers Bangalore,Sunrisers Hyderabad,"29th May, 2016",knockout,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Ben Cutting,0
584,Sunrisers Hyderabad,Royal Challengers Bangalore,"5th April, 2017",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Royal Challengers Bangalore,Sunrisers Hyderabad,Yuvraj Singh,1
585,Rising Pune Supergiant,Mumbai Indians,"6th April, 2017",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Rising Pune Supergiant,Rising Pune Supergiant,Steve Smith,1
586,Gujarat Lions,Kolkata Knight Riders,"7th April, 2017",league,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Chris Lynn,0
587,Kings XI Punjab,Rising Pune Supergiant,"8th April, 2017",league,"Holkar Cricket Stadium, Indore",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Glenn Maxwell,1
588,Royal Challengers Bangalore,Delhi Daredevils,"8th April, 2017",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Kedar Jadhav,1
589,Sunrisers Hyderabad,Gujarat Lions,"9th April, 2017",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Rashid Khan,1
590,Mumbai Indians,Kolkata Knight Riders,"9th April, 2017",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Nitish Rana,1
591,Kings XI Punjab,Royal Challengers Bangalore,"10th April, 2017",league,"Holkar Cricket Stadium, Indore",Day/Night Match,Royal Challengers Bangalore,Kings XI Punjab,Axar Patel,1
592,Rising Pune Supergiant,Delhi Daredevils,"11th April, 2017",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Rising Pune Supergiant,Delhi Daredevils,Sanju Samson,0
593,Mumbai Indians,Sunrisers Hyderabad,"12th April, 2017",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Jasprit Bumrah,1
594,Kolkata Knight Riders,Kings XI Punjab,"13th April, 2017",league,"Barabati Stadium, Cuttack",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Sunil Narine,1
595,Royal Challengers Bangalore,Mumbai Indians,"14th April, 2017",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Mumbai Indians,Mumbai Indians,Kieron Pollard,0
596,Gujarat Lions,Rising Pune Supergiant,"14th April, 2017",league,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot",Day/Night Match,Gujarat Lions,Gujarat Lions,Andrew Tye,1
597,Kolkata Knight Riders,Sunrisers Hyderabad,"15th April, 2017",league,"Eden Gardens, Kolkata",Day/Night Match,Sunrisers Hyderabad,Kolkata Knight Riders,Robin Uthappa,1
598,Delhi Daredevils,Kings XI Punjab,"15th April, 2017",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Corey Anderson,1
599,Mumbai Indians,Gujarat Lions,"16th April, 2017",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Nitish Rana,1
600,Royal Challengers Bangalore,Rising Pune Supergiant,"16th April, 2017",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Rising Pune Supergiant,Ben Stokes,0
601,Delhi Daredevils,Kolkata Knight Riders,"17th April, 2017",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Kolkata Knight Riders,Nathan Coulter-Nile,0
602,Sunrisers Hyderabad,Kings XI Punjab,"17th April, 2017",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Kings XI Punjab,Sunrisers Hyderabad,Bhuvneshwar Kumar,1
603,Gujarat Lions,Royal Challengers Bangalore,"18th April, 2017",league,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot",Day/Night Match,Gujarat Lions,Royal Challengers Bangalore,Chris Gayle,0
604,Sunrisers Hyderabad,Delhi Daredevils,"19th April, 2017",league,"Rajiv Gandhi International Stadium, Hyderabad",Day Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Kane Williamson,1
605,Kings XI Punjab,Mumbai Indians,"20th April, 2017",league,"Holkar Cricket Stadium, Indore",Day/Night Match,Mumbai Indians,Mumbai Indians,Jos Buttler,0
606,Kolkata Knight Riders,Gujarat Lions,"21st April, 2017",league,"Eden Gardens, Kolkata",Day/Night Match,Gujarat Lions,Gujarat Lions,Suresh Raina,0
607,Sunrisers Hyderabad,Rising Pune Supergiant,"22nd April, 2017",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Rising Pune Supergiant,Rising Pune Supergiant,M S Dhoni,0
608,Mumbai Indians,Delhi Daredevils,"22nd April, 2017",league,"Wankhede Stadium, Mumbai",Day/Night Match,Delhi Daredevils,Mumbai Indians,Mitchell McClenaghan,1
609,Kings XI Punjab,Gujarat Lions,"22nd April, 2017",league,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot",Day/Night Match,Gujarat Lions,Kings XI Punjab,Hashim Amla,1
610,Kolkata Knight Riders,Royal Challengers Bangalore,"23rd April, 2017",league,"Eden Gardens, Kolkata",Day/Night Match,Royal Challengers Bangalore,Kolkata Knight Riders,Nathan Coulter-Nile,1
611,Mumbai Indians,Rising Pune Supergiant,"24th April, 2017",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Rising Pune Supergiant,Ben Stokes,0
612,Royal Challengers Bangalore,Sunrisers Hyderabad,"25th April, 2017",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day Match,No Toss,No result,No Award,0
613,Rising Pune Supergiant,Kolkata Knight Riders,"26th April, 2017",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Robin Uthappa,0
614,Royal Challengers Bangalore,Gujarat Lions,"27th April, 2017",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Gujarat Lions,Gujarat Lions,Andrew Tye,0
615,Kolkata Knight Riders,Delhi Daredevils,"28th April, 2017",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Gautam Gambhir,1
616,Kings XI Punjab,Sunrisers Hyderabad,"28th April, 2017",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Sunrisers Hyderabad,Rashid Khan,0
617,Rising Pune Supergiant,Royal Challengers Bangalore,"29th April, 2017",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Royal Challengers Bangalore,Rising Pune Supergiant,Lockie Ferguson,1
618,Gujarat Lions,Mumbai Indians,"29th April, 2017",league,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot",Day/Night Match,Gujarat Lions,Mumbai Indians,Krunal Pandya,0
619,Kings XI Punjab,Delhi Daredevils,"30th April, 2017",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Sandeep Sharma,1
620,Sunrisers Hyderabad,Kolkata Knight Riders,"30th April, 2017",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Kolkata Knight Riders,Sunrisers Hyderabad,David Warner,1
621,Mumbai Indians,Royal Challengers Bangalore,"1st May, 2017",league,"Wankhede Stadium, Mumbai",Day/Night Match,Royal Challengers Bangalore,Mumbai Indians,Rohit Sharma,1
622,Rising Pune Supergiant,Gujarat Lions,"1st May, 2017",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Rising Pune Supergiant,Rising Pune Supergiant,Ben Stokes,1
623,Delhi Daredevils,Sunrisers Hyderabad,"2nd May, 2017",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Mohammed Shami,1
624,Kolkata Knight Riders,Rising Pune Supergiant,"3rd May, 2017",league,"Eden Gardens, Kolkata",Day/Night Match,Rising Pune Supergiant,Rising Pune Supergiant,Rahul Tripathi,0
625,Delhi Daredevils,Gujarat Lions,"4th May, 2017",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Rishabh Pant,1
626,Royal Challengers Bangalore,Kings XI Punjab,"5th May, 2017",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Kings XI Punjab,Sandeep Sharma,0
627,Sunrisers Hyderabad,Rising Pune Supergiant,"6th May, 2017",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Sunrisers Hyderabad,Rising Pune Supergiant,Jaydev Unadkat,0
628,Delhi Daredevils,Mumbai Indians,"6th May, 2017",league,"Barabati Stadium, Cuttack",Day/Night Match,Delhi Daredevils,Mumbai Indians,Lendl Simmons,0
629,Royal Challengers Bangalore,Kolkata Knight Riders,"7th May, 2017",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Sunil Narine,0
630,Kings XI Punjab,Gujarat Lions,"7th May, 2017",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Gujarat Lions,Gujarat Lions,Dwayne Smith,0
631,Sunrisers Hyderabad,Mumbai Indians,"8th May, 2017",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Mumbai Indians,Sunrisers Hyderabad,Shikhar Dhawan,1
632,Kings XI Punjab,Kolkata Knight Riders,"9th May, 2017",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kolkata Knight Riders,Kings XI Punjab,Mohit Sharma,1
633,Gujarat Lions,Delhi Daredevils,"10th May, 2017",league,"Green Park, Kanpur",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Shreyas Iyer,0
634,Mumbai Indians,Kings XI Punjab,"11th May, 2017",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Kings XI Punjab,Wriddhiman Saha,0
635,Delhi Daredevils,Rising Pune Supergiant,"12th May, 2017",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Karun Nair,1
636,Gujarat Lions,Sunrisers Hyderabad,"13th May, 2017",league,"Green Park, Kanpur",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Mohammed Siraj,0
637,Kolkata Knight Riders,Mumbai Indians,"13th May, 2017",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Mumbai Indians,Ambati Rayudu,0
638,Rising Pune Supergiant,Kings XI Punjab,"14th May, 2017",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Rising Pune Supergiant,Rising Pune Supergiant,Jaydev Unadkat,1
639,Delhi Daredevils,Royal Challengers Bangalore,"14th May, 2017",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Harshal Patel,0
640,Mumbai Indians,Rising Pune Supergiant,"16th May, 2017",knockout,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Rising Pune Supergiant,Washington Sundar,0
641,Sunrisers Hyderabad,Kolkata Knight Riders,"17th May, 2017",knockout,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Nathan Coulter-Nile,0
642,Mumbai Indians,Kolkata Knight Riders,"19th May, 2017",knockout,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Mumbai Indians,Mumbai Indians,Karn Sharma,1
643,Mumbai Indians,Rising Pune Supergiant,"21st May, 2017",knockout,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Mumbai Indians,Mumbai Indians,Krunal Pandya,1
644,Mumbai Indians,Chennai Super Kings,"7th April, 2018",league,"Wankhede Stadium, Mumbai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Dwayne Bravo,0
645,Kings XI Punjab,Delhi Daredevils,"8th April, 2018",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Kings XI Punjab,KL Rahul,1
646,Kolkata Knight Riders,Royal Challengers Bangalore,"8th April, 2018",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Sunil Narine,1
647,Sunrisers Hyderabad,Rajasthan Royals,"9th April, 2018",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Shikhar Dhawan,1
648,Chennai Super Kings,Kolkata Knight Riders,"10th April, 2018",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Sam Billings,1
649,Rajasthan Royals,Delhi Daredevils,"11th April, 2018",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Delhi Daredevils,Rajasthan Royals,Sanju Samson,1
650,Mumbai Indians,Sunrisers Hyderabad,"12th April, 2018",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Rashid Khan,0
651,Kings XI Punjab,Royal Challengers Bangalore,"13th April, 2018",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Umesh Yadav,0
652,Mumbai Indians,Delhi Daredevils,"14th April, 2018",league,"Wankhede Stadium, Mumbai",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Jason Roy,0
653,Kolkata Knight Riders,Sunrisers Hyderabad,"14th April, 2018",league,"Eden Gardens, Kolkata",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Billy Stanlake,0
654,Royal Challengers Bangalore,Rajasthan Royals,"15th April, 2018",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Sanju Samson,0
655,Kings XI Punjab,Chennai Super Kings,"15th April, 2018",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Chennai Super Kings,Kings XI Punjab,Chris Gayle,1
656,Kolkata Knight Riders,Delhi Daredevils,"16th April, 2018",league,"Eden Gardens, Kolkata",Day/Night Match,Delhi Daredevils,Kolkata Knight Riders,Nitish Rana,1
657,Mumbai Indians,Royal Challengers Bangalore,"17th April, 2018",league,"Wankhede Stadium, Mumbai",Day/Night Match,Royal Challengers Bangalore,Mumbai Indians,Rohit Sharma,1
658,Rajasthan Royals,Kolkata Knight Riders,"18th April, 2018",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Nitish Rana,0
659,Kings XI Punjab,Sunrisers Hyderabad,"19th April, 2018",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Chris Gayle,1
660,Rajasthan Royals,Chennai Super Kings,"20th April, 2018",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Rajasthan Royals,Chennai Super Kings,Shane Watson,0
661,Kolkata Knight Riders,Kings XI Punjab,"21st April, 2018",league,"Eden Gardens, Kolkata",Day/Night Match,Kings XI Punjab,Kings XI Punjab,KL Rahul,0
662,Royal Challengers Bangalore,Delhi Daredevils,"21st April, 2018",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,1
663,Sunrisers Hyderabad,Chennai Super Kings,"22nd April, 2018",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Sunrisers Hyderabad,Chennai Super Kings,Ambati Rayudu,0
664,Rajasthan Royals,Mumbai Indians,"22nd April, 2018",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Mumbai Indians,Rajasthan Royals,Jofra Archer,1
665,Delhi Daredevils,Kings XI Punjab,"23rd April, 2018",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Kings XI Punjab,Ankit Rajpoot,0
