,home,away,date,match_type,venue,time_of_match,toss,winner,man_of_match,outcome
416,Chennai Super Kings,Mumbai Indians,"25th April, 2014",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Mumbai Indians,Chennai Super Kings,Mohit Sharma,1
417,Royal Challengers Bangalore,Rajasthan Royals,"26th April, 2014",league,"Sheikh Zayed Stadium, Abu Dhabi",Day Match,Rajasthan Royals,Rajasthan Royals,Pravin Tambe,0
418,Kolkata Knight Riders,Kings XI Punjab,"26th April, 2014",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Kolkata Knight Riders,Kings XI Punjab,Sandeep Sharma,0
419,Delhi Daredevils,Mumbai Indians,"27th April, 2014",league,"Sharjah Cricket Stadium, Sharjah",Day Match,Mumbai Indians,Delhi Daredevils,Murali Vijay,1
420,Sunrisers Hyderabad,Chennai Super Kings,"27th April, 2014",league,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Sunrisers Hyderabad,Chennai Super Kings,Dwayne Smith,0
421,Kings XI Punjab,Royal Challengers Bangalore,"28th April, 2014",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Sandeep Sharma,1
422,Kolkata Knight Riders,Rajasthan Royals,"29th April, 2014",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Rajasthan Royals,Rajasthan Royals,James Faulkner,0
423,Mumbai Indians,Sunrisers Hyderabad,"30th April, 2014",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Mumbai Indians,Sunrisers Hyderabad,Bhuvneshwar Kumar,0
424,Chennai Super Kings,Kolkata Knight Riders,"2nd May, 2014",league,"JSCA International Stadium Complex, Ranchi",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Ravindra Jadeja,1
425,Mumbai Indians,Kings XI Punjab,"3rd May, 2014",league,"Wankhede Stadium, Mumbai",Day/Night Match,Kings XI Punjab,Mumbai Indians,Corey Anderson,1
426,Delhi Daredevils,Rajasthan Royals,"3rd May, 2014",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Karun Nair,0
427,Royal Challengers Bangalore,Sunrisers Hyderabad,"4th May, 2014",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,1
428,Rajasthan Royals,Kolkata Knight Riders,"5th May, 2014",league,"Narendra Modi Stadium, Ahmedabad",Day/Night Match,Kolkata Knight Riders,Rajasthan Royals,Pravin Tambe,1
429,Delhi Daredevils,Chennai Super Kings,"5th May, 2014",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Dwayne Smith,0
430,Mumbai Indians,Royal Challengers Bangalore,"6th May, 2014",league,"Wankhede Stadium, Mumbai",Day/Night Match,Royal Challengers Bangalore,Mumbai Indians,Rohit Sharma,1
431,Delhi Daredevils,Kolkata Knight Riders,"7th May, 2014",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Kolkata Knight Riders,Gautam Gambhir,0
432,Kings XI Punjab,Chennai Super Kings,"7th May, 2014",league,"Barabati Stadium, Cuttack",Day/Night Match,Chennai Super Kings,Kings XI Punjab,Glenn Maxwell,1
433,Sunrisers Hyderabad,Rajasthan Royals,"8th May, 2014",league,"Narendra Modi Stadium, Ahmedabad",Day/Night Match,Rajasthan Royals,Sunrisers Hyderabad,Bhuvneshwar Kumar,1
434,Royal Challengers Bangalore,Kings XI Punjab,"9th May, 2014",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Kings XI Punjab,Shivam Sharma,0
435,Delhi Daredevils,Sunrisers Hyderabad,"10th May, 2014",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Dale Steyn,0
436,Mumbai Indians,Chennai Super Kings,"10th May, 2014",league,"Wankhede Stadium, Mumbai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Dwayne Smith,0
437,Kolkata Knight Riders,Kings XI Punjab,"11th May, 2014",league,"Barabati Stadium, Cuttack",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Gautam Gambhir,1
438,Royal Challengers Bangalore,Rajasthan Royals,"11th May, 2014",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Rajasthan Royals,James Faulkner,0
439,Sunrisers Hyderabad,Mumbai Indians,"12th May, 2014",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Sunrisers Hyderabad,Mumbai Indians,Ambati Rayudu,0
